gr17,2090,1.4,2088,1.9,2090,5.2,2226,1.0,2090,2.7,2090,4.1,2226,1.0,2292,2.4,2237,4.3
gr21,2709,1.7,2709,3.4,2709,6.7,2709,1.9,2709,3.6,2709,7.0,2709,1.9,2709,3.5,2709,8.9
gr24,1272,2.9,1272,5.9,1272,11.9,1272,3.0,1272,5.9,1297,12.2,1333,3.7,1337,6.5,1349,13.1
fri26,937,3.7,937,7.2,937,14.3,940,3.7,937,7.5,937,16.0,1002,4.5,957,7.7,957,15.3
bayg29,1641,5.9,1634,10.8,1636,25.2,1656,5.7,1656,11.1,1660,23.3,1720,6.1,1727,11.9,1735,25.2
bays29,2038,5.8,2034,12.1,2036,23.7,2073,5.3,2073,11.4,2036,23.2,2172,5.7,2071,11.2,2131,23.1
dantzig42,699,21.7,700,40.0,700,99.5,700,18.7,700,40.2,700,80.1,699,19.6,700,43.9,700,79.5
swiss42,1274,23.7,1273,44.1,1273,95.4,1273,23.1,1290,53.7,1279,97.2,1347,32.3,1273,58.0,1317,138.2
hk48,11470,36.6,11545,81.5,11474,143.5,11511,37.8,11474,76.5,11484,151.8,11689,49.1,11910,108.0,11741,172.5
gr48,5083,58.9,5092,100.9,5067,223.6,5066,51.6,5104,117.9,5118,228.6,5206,49.7,5148,111.8,5190,213.5
eil51,412,70.4,413,117.7,413,238.7,418,84.5,415,173.8,416,335.3,430,72.7,425,160.6,420,271.7
berlin52,7554,58.2,7526,113.5,7554,231.9,7554,60.5,7634,127.7,7554,241.9,7651,59.7,7725,139.0,7948,322.5
brazil58,25464,89.3,25464,174.8,25475,341.2,25510,113.4,25505,173.1,25505,360.5,26609,100.8,26640,233.8,25823,434.8
st70,654,245.3,652,404.9,654,844.8,655,258.3,663,468.2,654,949.7,676,241.0,678,475.7,679,1012.9
eil76,527,277.6,526,538.7,526,1413.4,527,329.4,528,643.5,531,1238.2,546,302.7,539,751.8,534,1347.4
pr76,108364,354.3,109138,670.9,108967,1445.0,109912,347.6,108927,914.4,108560,1634.3,111838,363.6,109804,783.3,109521,1769.8
rat99,1191,743.6,1188,1815.8,1188,2967.7,1188,725.8,1195,1479.0,1192,3427.3,1214,909.1,1200,1592.0,1197,3190.8
kroB100,22310,984.9,22222,1907.3,22202,3485.1,22328,975.1,22260,1910.6,22307,4488.6,23141,1332.1,22757,2443.4,22763,4944.6
kroE100,22221,990.7,22297,1896.0,22162,5029.9,22123,1081.4,22604,2273.6,22663,3874.1,22806,1020.4,23266,2351.5,23386,4873.0
kroC100,20809,553.2,20778,1105.2,20807,2349.8,21020,619.0,20816,1106.1,20877,2317.0,21255,719.5,21217,1233.3,21260,3479.4
kroD100,21464,705.2,21302,1722.4,21308,3472.8,21567,982.5,21544,1633.0,21425,4069.4,22237,1052.8,21715,1725.3,21923,5132.4
rd100,7892,658.8,7879,1332.8,7867,2498.9,7993,706.9,7873,1550.0,7910,2671.3,8268,735.7,8149,1709.7,8142,3041.8
kroA100,21470,735.7,21410,1786.7,21318,3684.3,21419,1016.4,21449,1727.2,21775,3625.5,21895,1039.0,21947,1764.4,21918,4185.1
eil101,609,984.2,610,2948.2,611,5664.4,617,1220.4,612,2801.9,610,4420.4,632,1278.8,637,2489.5,630,5504.9
lin105,14420,568.3,14456,1297.5,14506,2659.6,14699,706.5,14624,1450.4,14516,2596.7,14916,753.9,15048,1853.2,14822,3527.6
pr107,44921,12625.8,44956,19536.9,44817,43971.6,45406,9034.1,45267,23098.5,45027,52146.0,46153,7417.3,45961,16774.8,47086,28160.4
gr120,7005,1813.2,7015,3606.3,6976,7833.8,7127,2714.4,7023,3124.9,7027,6513.7,7172,1779.1,7161,4589.1,7217,7787.3
pr124,59612,3258.1,59504,6413.6,X,X,59712,3069.5,59789,5218.0,X,X,61079,2165.9,61941,4786.1,X,X
bier127,119552,2343.3,119605,4892.9,120343,9522.0,120344,3215.8,120821,9065.6,121292,14157.1,123104,2558.1,124409,6668.1,123645,12451.4
ch130,6090,1948.0,6070,5698.0,6062,9153.1,6143,2294.8,6127,6838.8,6142,11739.1,6271,2976.0,6263,4882.2,6225,9375.6
pr136,97360,3444.8,97102,6410.9,X,X,98449,4499.1,97521,7093.4,X,X,97780,4460.1,98124,6013.1,X,X
pr144,59821,17576.0,59676,40156.6,X,X,60437,22627.1,60455,38661.9,X,X,61147,18707.2,62860,38349.3,X,X
kroA150,26512,5106.1,26676,8878.6,X,X,26722,5499.1,26793,9543.5,X,X,28028,5720.1,27266,8169.0,X,X
ch150,6475,6447.9,6498,11148.5,6459,25306.1,6610,4060.2,6573,10806.8,6536,20464.1,6775,5328.1,6739,9777.1,6704,20467.4
kroB150,26224,3158.7,26104,5883.6,X,X,26544,3478.8,26392,6821.9,X,X,26720,3723.4,27049,8989.8,X,X
pr152,73887,17997.9,74624,32792.0,X,X,74632,17108.9,75172,34013.2,X,X,78816,21657.9,X,X,X,X
u159,42198,3198.9,X,X,X,X,42171,3090.8,X,X,X,X,43042,4419.0,X,X,X,X
si175,21589,9082.5,X,X,X,X,22035,8235.5,X,X,X,X,22975,9034.2,X,X,X,X
brg180,1953,21381.6,1950,35225.9,1950,68475.0,1979,16828.7,1950,26658.7,1960,44845.3,2000,7713.9,1970,14307.0,1960,30431.1
rat195,2276,22361.5,X,X,X,X,2296,14514.3,X,X,X,X,2355,12398.7,X,X,X,X
d198,15783,63903.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
kroB200,29543,13685.8,X,X,X,X,29638,16613.8,X,X,X,X,30550,18660.4,X,X,X,X
kroA200,29575,15333.6,X,X,X,X,29796,14447.5,X,X,X,X,30405,14717.6,X,X,X,X
